City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,los llanos de aridane,28.6585,-17.9182,16.18,69,20,5.66,ES,1679447675
141,te anau,-45.4167,167.7167,13.18,53,46,1.06,NZ,1679447676
142,requena,39.4883,-1.1004,4.18,66,0,1.24,ES,1679447676
143,loten,60.8171,11.3376,0.07,99,100,1.28,NO,1679447676
144,mackay,-21.15,149.2,26.99,63,42,8.49,AU,1679447677
145,oga,46.4631,10.347,4.89,84,100,0.72,IT,1679447677
146,jamestown,42.097,-79.2353,6.8,53,20,0.89,US,1679447678
147,angoram,-4.0625,144.0661,32.39,57,72,0.96,PG,1679447679
148,whithorn,18.2604,-78.0378,23.02,92,8,0.94,JM,1679447679
149,beringovskiy,63.05,179.3167,-16.51,74,62,7.33,RU,1679447680
150,aljezur,37.3191,-8.8033,12.12,89,0,3.36,PT,1679447680
151,krasnoselkup,65.7,82.4667,-2.78,95,100,13.65,RU,1679447681
152,narsaq,60.9167,-46.05,0.12,66,53,4.62,GL,1679447681
153,katsuura,35.1333,140.3,17.85,69,3,3.89,JP,1679447682
154,sterling,39.0062,-77.4286,12.99,35,75,4.12,US,1679447682
155,koumac,-20.5667,164.2833,27.65,64,100,3.19,NC,1679447683
156,airai,-8.9266,125.4092,21.01,70,90,0.36,TL,1679447683
157,fairbanks,64.8378,-147.7164,1.98,41,0,1.54,US,1679447524
158,constitucion,-35.3333,-72.4167,15.24,61,0,4.29,CL,1679447684
159,kahului,20.8947,-156.47,28.01,69,75,7.2,US,1679447684
160,betamcherla,15.4667,78.1667,23.03,43,98,0.77,IN,1679447685
161,vaini,-21.2,-175.2,26.49,77,87,3.37,TO,1679447685
162,saldanha,-33.0117,17.9442,17.18,86,78,3.55,ZA,1679447686
163,grindavik,63.8424,-22.4338,0.26,93,100,12.86,IS,1679447686
164,whitefish,48.4111,-114.3376,7.86,25,0,0.0,US,1679447686
165,nioro,13.35,-15.75,24.16,37,61,2.08,GM,1679447687
166,tigzirt,36.8886,4.1198,11.05,81,96,2.4,DZ,1679447687
167,nouadhibou,20.931,-17.0347,17.99,88,75,4.12,MR,1679447688
168,bayan,46.0833,127.4,8.71,64,100,8.54,CN,1679447688
169,salalah,17.0151,54.0924,24.05,88,40,2.06,OM,1679447689
170,klaksvik,62.2266,-6.589,6.51,96,100,4.18,FO,1679447689
171,vanimo,-2.6741,141.3028,29.28,70,97,2.58,PG,1679447690
172,haflong,25.1833,93.0333,16.73,96,100,1.31,IN,1679447690
173,yar-sale,66.8333,70.8333,-14.52,89,77,3.37,RU,1679447690
174,san antero,9.3741,-75.7589,26.98,78,29,3.44,CO,1679447691
175,tuktoyaktuk,69.4541,-133.0374,-5.67,92,100,3.35,CA,1679447691
176,qeshm,26.9581,56.2719,22.34,66,0,4.66,IR,1679447692
177,campbell river,50.0163,-125.2446,13.11,64,99,0.85,CA,1679447692
178,batagay-alyta,67.8006,130.4114,-27.25,78,26,1.52,RU,1679447692
179,atasu,48.6814,71.6433,-13.56,77,15,2.75,KZ,1679447693
180,ponte de sor,39.2496,-8.0101,10.95,93,88,1.73,PT,1679447693
181,dabakala,8.3667,-4.4333,23.87,82,7,1.82,CI,1679447694
182,ust-maya,60.4167,134.5333,-22.81,88,87,1.47,RU,1679447694
183,saurimo,-9.6608,20.3916,17.4,97,100,0.76,AO,1679447694
184,coihaique,-45.5752,-72.0662,9.97,66,0,2.57,CL,1679447695
185,auki,-8.7676,160.7034,29.87,62,83,3.17,SB,1679447695
186,chagoda,59.164,35.3285,-2.61,88,35,3.18,RU,1679447696
187,vallenar,-28.5708,-70.7581,21.99,62,4,1.41,CL,1679447696
188,barrow,71.2906,-156.7887,-9.99,73,0,4.12,US,1679447697
189,hirara,24.8,125.2833,23.44,93,95,7.32,JP,1679447697
190,nishihara,26.1842,127.7558,24.82,88,75,6.69,JP,1679447697
191,mantua,45.1667,10.7833,11.58,85,100,0.45,IT,1679447698
192,caconda,-13.7333,15.0667,15.5,94,100,2.4,AO,1679447699
193,rantepao,-2.9701,119.8978,23.66,80,100,0.13,ID,1679447699
194,mount gambier,-37.8333,140.7667,21.82,51,0,1.96,AU,1679447699
195,khargone,21.8167,75.6,22.88,48,97,4.09,IN,1679447700
196,khatanga,71.9667,102.5,-16.5,85,100,4.87,RU,1679447700
197,nyazepetrovsk,56.0531,59.6028,-0.79,80,17,3.94,RU,1679447701
198,severo-kurilsk,50.6789,156.125,2.59,85,91,1.94,RU,1679447702
199,sainte-marie,-20.8968,55.5496,25.09,83,20,2.57,RE,1679447703
200,miami,25.7743,-80.1937,22.23,72,75,4.12,US,1679447538
201,merke,42.8728,73.1786,5.75,66,100,1.28,KZ,1679447704
202,svetlyy,54.675,20.1347,2.03,82,92,4.82,RU,1679447705
203,mezen,65.8522,44.24,-7.21,95,100,1.11,RU,1679447706
204,ravar,31.2656,56.8055,13.05,44,0,4.87,IR,1679447707
205,arraial do cabo,-22.9661,-42.0278,24.78,89,0,2.79,BR,1679447707
206,pacifica,37.6138,-122.4869,9.56,89,100,15.43,US,1679447711
207,namatanai,-3.6667,152.4333,29.51,59,9,1.54,PG,1679447714
208,kirakira,-10.4544,161.9205,28.94,73,53,2.86,SB,1679447714
209,yumaguzino,52.9041,56.3933,-5.6,88,100,2.2,RU,1679447715
210,albacete,38.8333,-2.0,7.45,81,0,2.06,ES,1679447715
211,cheremukhovo,60.3484,59.9851,1.66,98,100,4.58,RU,1679447716
212,amontada,-3.3617,-39.8317,23.1,95,95,0.46,BR,1679447716
213,valley city,46.9233,-98.0032,-4.71,100,100,5.66,US,1679447717
214,presidencia roque saenz pena,-26.7852,-60.4388,27.88,49,0,1.8,AR,1679447717
215,great yarmouth,52.6083,1.7305,10.25,83,100,10.72,GB,1679447718
216,soubre,5.7856,-6.6083,23.56,96,64,1.03,CI,1679447718
217,basti,26.8,82.7167,17.87,83,0,2.72,IN,1679447719
218,dinan,48.4167,-2.25,11.79,82,100,8.83,FR,1679447719
219,merauke,-8.4667,140.3333,28.26,75,100,1.94,ID,1679447720
220,bongouanou,6.6486,-4.1992,22.62,97,69,1.3,CI,1679447720
221,hovin,63.1055,10.225,-0.97,94,100,1.43,NO,1679447721
222,san juan del sur,11.2529,-85.8705,27.04,72,9,11.49,NI,1679447722
223,provideniya,64.3833,-173.3,-12.94,72,75,7.15,RU,1679447722
224,saint george,37.1041,-113.5841,11.33,85,40,2.57,US,1679447723
225,sanary-sur-mer,43.1178,5.8001,12.56,80,100,2.78,FR,1679447677
226,cangucu,-31.395,-52.6756,18.11,78,100,2.94,BR,1679447724
227,liwale,-9.7667,37.9333,19.78,99,100,0.16,TZ,1679447724
228,lieksa,63.3167,30.0167,-7.46,97,100,3.11,FI,1679447725
229,hovd,48.0056,91.6419,-10.96,41,35,0.62,MN,1679447725
230,hastings,50.8552,0.5729,11.1,88,100,11.64,GB,1679447584
231,rabaul,-4.1967,152.1721,28.18,63,6,2.23,PG,1679447726
232,havre-saint-pierre,50.2334,-63.5986,-2.8,81,96,6.66,CA,1679447726
233,palmer,42.1584,-72.3287,10.23,49,75,0.45,US,1679447727
234,saint-augustin,51.226,-58.6502,-1.27,98,100,1.91,CA,1679447727
235,shache,38.4167,77.2406,8.73,24,9,1.54,CN,1679447728
236,lakes entrance,-37.8811,147.981,22.31,69,68,3.26,AU,1679447728
237,zyryanka,65.75,150.85,-18.77,77,99,6.27,RU,1679447729
238,lago da pedra,-4.3333,-45.1667,22.92,91,100,0.67,BR,1679447729
239,leningradskiy,69.3833,178.4167,-21.86,95,100,12.95,RU,1679447730
